Name,Steps,HeartRate,CaloriesBurned,HoursOfSleep,DistanceWalked,ActivityType
Mrs. Melissa Henry,3542,82.5,2400.2,7.1,3.99,Cycling
Joshua Stone,5553,76.4,1959.4,8.8,3.36,Resting
Andrew Washington,14753,65.1,2404.3,6.4,11.13,Resting
Beth Arnold,7518,69.6,1856.9,4.6,5.09,Running
Tracy Long,11136,71.5,2082.7,5.6,6.02,Cycling
Brad Roberts,18514,63.2,2049.9,6.6,8.62,Resting
Christopher Brown,17269,77.5,2336.1,8.7,7.43,Walking
Christine Rodriguez,18807,90.0,1397.7,7.7,9.42,Resting
Jessica Mann,17920,68.6,2320.9,8.4,14.03,Resting
Nicholas Carson,4530,64.5,2162.4,6.8,5.27,Walking
Kelly Williams,9262,65.6,2232.4,5.7,13.18,Resting
John Payne,5762,71.9,2408.8,5.5,13.86,Running
Lisa Hill,19010,69.9,2590.6,4.0,14.27,Walking
Megan Jimenez,3376,49.8,1389.1,4.6,14.78,Running
Daniel Knox,12521,75.9,2677.6,8.0,4.76,Resting
Lisa Davis,8125,94.4,2074.3,6.8,14.42,Walking
Timothy Kim,7765,89.3,2000.3,5.2,10.02,Walking
Shannon Cain,5746,76.0,2229.7,6.4,7.74,Running
Adam Becker,11382,64.8,2395.0,7.0,7.42,Cycling
Jessica Mendez,5661,96.8,2324.0,9.2,10.22,Running
Jacob Wilson,9946,82.1,1846.9,8.7,1.45,Resting
Vanessa Davis,7585,87.8,2749.2,7.2,4.17,Resting
Jerry Smith,2690,74.0,2725.0,8.1,3.52,Walking
Michelle Baker,6473,76.8,2051.3,7.0,4.34,Resting
Brittney Benson,8912,90.7,1474.0,6.1,2.44,Running
Whitney Jordan,2573,80.4,1072.4,5.4,8.79,Walking
Gary Villarreal,12026,77.1,2193.8,4.9,12.4,Resting
Randy Cherry,11222,64.7,2531.0,7.5,11.31,Walking
Alicia Solis,2396,78.4,1411.8,4.4,14.01,Walking
Deborah Jones,4454,59.9,1769.7,5.7,14.67,Resting
John Glover,18173,62.6,2059.2,6.1,14.34,Walking
Emily Bennett DDS,16074,77.4,2569.4,6.6,5.72,Running
Kevin White,19819,86.4,1744.5,4.6,7.75,Walking
Amy Ortiz,18898,74.4,2230.8,5.1,5.3,Cycling
Joseph Ochoa,2341,89.2,1720.6,5.4,5.82,Walking
Lisa Lyons,16192,95.0,2548.7,4.2,4.07,Cycling
Tamara Richmond,15887,64.9,2860.9,5.4,4.68,Cycling
Elizabeth Smith,9130,74.9,1871.6,7.3,9.42,Resting
Richard Fitzgerald,4993,78.9,2221.2,5.7,11.15,Walking
Kathleen Doyle,1742,88.6,2130.5,6.8,9.07,Cycling
Samuel Hudson,13155,54.1,2294.0,9.7,2.95,Cycling
Joshua Avery,6974,86.0,2387.3,7.9,2.45,Cycling
Tiffany Strickland,5911,87.7,2506.6,9.2,3.36,Resting
Charles Johnson,12559,69.8,2151.8,7.4,1.31,Cycling
Erin Davis,14390,84.0,2609.2,6.0,13.19,Running
Mark Phillips,13672,59.8,2795.5,7.3,6.65,Walking
Jason Hall,7756,81.6,2867.3,7.1,12.01,Cycling
David Thompson,17898,65.0,2113.1,8.2,2.4,Resting
Todd Schneider,13258,78.1,1931.0,7.2,14.13,Resting
James Clark,5974,89.8,2793.3,5.0,2.43,Walking
Dr. Teresa Ward,14038,85.3,1709.1,5.0,10.49,Walking
Kathryn Ayala,18589,79.7,1911.1,6.5,13.54,Resting
Kristin Griffin,7693,62.3,1689.5,8.5,13.54,Running
David Coleman,3955,61.9,1899.1,7.4,8.11,Running
Ms. Haley Ayers MD,5881,89.6,1930.6,6.7,13.32,Resting
Steven Rivera,7409,75.5,2368.3,7.4,8.71,Walking
Jonathon Ford,6403,83.6,1793.6,5.2,6.01,Cycling
Kathryn Boyd,2099,62.3,2476.2,5.3,12.32,Walking
Brian Norman,14265,86.1,2679.6,7.2,11.08,Resting
Marilyn Lee,1450,75.0,1833.0,5.7,14.86,Resting
Victoria King,16887,75.0,2182.9,5.1,1.29,Cycling
Thomas Herrera,4032,52.8,2224.1,8.3,11.5,Running
Jessica Hanna MD,17475,76.5,2578.4,9.7,2.4,Walking
Christopher Williams,7587,79.2,2303.8,6.9,10.77,Cycling
Heather Perez,5660,66.7,1762.6,7.8,1.14,Running
Melinda Contreras,17307,77.7,2610.7,9.3,9.62,Walking
Charles Gonzalez,1499,81.7,1920.4,6.6,1.25,Walking
Mr. Alan Mueller,2614,74.8,1626.5,9.8,9.23,Resting
Michael Kelley,9608,63.5,2450.9,5.5,6.63,Cycling
David Pena,10763,76.9,1209.2,8.3,10.3,Running
Terry Li,4403,69.7,2146.4,8.2,2.16,Walking
Aaron Garcia,12602,73.3,2301.6,5.3,4.1,Resting
Daniel Taylor,5609,90.6,2533.3,4.8,14.96,Walking
Joshua Robinson,14530,80.3,2452.4,7.5,9.97,Cycling
Ryan Peters,4187,73.8,2546.0,8.8,9.14,Resting
Susan Hahn,10243,79.6,2208.8,7.0,8.28,Walking
Nicholas Baker,19754,80.1,2470.3,9.6,3.71,Cycling
Kylie Russo,14224,69.5,1795.7,9.0,10.56,Walking
Kristin Kennedy,10371,73.6,2221.1,7.5,14.15,Running
Collin Nguyen,18594,67.0,2066.5,6.7,6.37,Resting
Jason Cuevas,9653,86.3,2707.0,4.1,12.0,Walking
Sydney Murray,10266,74.4,1854.2,7.9,12.72,Cycling
Eric Tanner,7777,79.4,2084.0,5.0,4.18,Running
Brian Lang,17819,72.7,2114.2,9.8,2.11,Resting
Anne Baker,12597,65.3,2688.5,6.6,9.93,Cycling
Brian Brown,10913,57.0,2048.1,7.9,7.75,Cycling
Benjamin Frazier,3061,90.1,1893.5,5.3,14.83,Walking
Robert Turner,4994,70.8,1909.6,9.7,4.25,Cycling
Ryan Smith,12514,79.7,1746.3,7.1,10.43,Resting
Gabriel Boyd,10942,87.2,1622.8,7.3,6.47,Walking
Dr. Sarah Anderson MD,5489,100.2,2213.1,8.3,8.39,Cycling
Ms. Laura Tran,16905,79.8,1943.4,7.3,3.01,Walking
Connor Garza,14704,71.0,2656.8,6.5,13.02,Cycling
Diana Johnson,1722,81.6,2498.8,7.2,1.72,Walking
Stephen Parker,6483,82.2,2194.1,6.5,7.1,Walking
Sarah Blackwell DDS,1978,63.1,1788.2,9.4,4.53,Walking
Samuel Green,5786,89.0,2489.7,6.8,2.92,Walking
Sherry Jackson,8451,58.7,2614.8,8.0,8.01,Cycling
Susan Rocha,4581,81.1,2495.8,8.7,14.61,Cycling
Kristin Perkins,4046,78.6,2048.1,4.4,10.15,Cycling
Ashley Johnson DVM,17260,68.1,2687.7,5.3,1.66,Running
David Johnson,14507,68.4,2516.3,8.7,3.07,Resting
Ruth Franklin,19392,77.0,2905.9,6.1,2.63,Running
Larry Burns,8553,65.0,2632.5,8.4,7.3,Resting
Gloria Owens,7659,71.6,2494.3,7.2,6.58,Running
Mercedes Thompson,10683,54.1,1760.2,7.7,6.46,Resting
Jeffrey Hughes,17992,86.4,2241.6,4.5,4.05,Resting
Ana Zavala,2453,76.5,2635.9,6.0,5.99,Resting
Jody Burns,18917,82.6,2894.9,10.0,5.94,Walking
Darrell Vega,11097,88.9,2380.5,9.8,9.71,Walking
Victoria Hunter,9089,87.5,1795.4,4.3,1.5,Walking
Alicia Bradley,1828,78.7,2535.6,7.3,6.93,Resting
Sheena White,8607,77.6,1969.5,9.8,12.09,Cycling
Nicole Rhodes,7157,58.0,1843.3,8.3,4.15,Cycling
Michael Patton,4684,85.1,1954.2,6.9,3.1,Cycling
Nicole Cervantes,12720,66.5,2847.3,8.7,6.14,Walking
Krystal Taylor,12396,74.3,2420.7,8.4,7.56,Resting
Kim Villarreal,10758,84.7,2002.6,7.8,10.35,Walking
Jeffrey Campbell,12256,70.3,2064.4,4.1,6.73,Running
Morgan Mills,12937,58.4,2455.8,5.1,3.36,Running
Ryan Ramos,15112,72.4,1806.1,5.5,14.65,Resting
Billy Carpenter,15389,93.7,2464.4,5.4,4.54,Resting
Emily King,18944,60.9,1393.5,7.0,10.93,Running
Ryan Miller,16116,90.7,2212.7,5.6,3.06,Walking
Danny Jacobs,17146,68.7,2525.0,7.6,1.6,Resting
Victor Pitts,8277,70.0,2430.0,4.8,8.88,Cycling
Mary Chavez,6779,77.9,1939.5,7.8,10.95,Resting
Robert Smith,19246,78.3,2116.1,6.5,2.59,Walking
Dean Conway,11951,59.6,1726.3,8.5,13.18,Cycling
Caitlin Stokes,6732,78.9,2037.4,6.1,1.4,Cycling
Cheryl Bridges,2520,72.5,1679.5,8.3,2.38,Cycling
Shelby Brooks,16565,65.8,2600.1,9.5,9.47,Running
Mark Warren,8450,87.5,1142.9,8.5,7.38,Cycling
Anna Smith,9551,86.5,2045.8,6.7,9.4,Running
Tiffany Henderson,10032,79.3,2029.3,6.6,1.24,Resting
Erin Lewis,9553,71.8,1869.0,9.3,7.6,Running
Jeff Juarez,1108,73.4,2645.3,9.6,8.1,Walking
Brianna Garrett,2229,59.3,2055.1,4.7,13.12,Walking
Mr. Spencer Smith,16983,75.2,2048.2,5.3,6.29,Cycling
Michael Maldonado,17162,71.8,2091.6,9.4,9.69,Cycling
Christina Johnston,5312,79.7,2400.1,9.1,7.27,Cycling
Tara Romero,2425,97.0,2422.5,4.6,2.83,Walking
Amanda Thomas,8516,64.0,2387.6,9.0,10.25,Running
Maurice Shepherd,16005,81.0,2504.2,8.5,11.6,Resting
Glen Hendricks,18346,54.6,2279.6,4.6,3.43,Running
Janice Rivas,18452,68.4,2462.3,4.5,14.18,Cycling
Brendan Robinson,4643,88.3,1618.3,9.8,9.99,Resting
Monica Brock,7641,61.2,2474.3,9.3,14.49,Cycling
Michael Green Jr.,3473,73.9,2605.5,5.3,4.98,Running
Sara Ross,14043,81.7,1878.8,6.0,8.5,Resting
Matthew Dillon,18044,58.0,1952.8,5.0,11.94,Resting
Jamie Edwards,14653,57.6,2706.2,8.7,9.85,Walking
Jeffery Howard,1880,85.1,2226.7,4.3,9.62,Resting
Louis Rodriguez,14932,99.1,2297.0,4.2,7.48,Walking
Tammie Bender,13424,79.5,2383.4,8.7,3.24,Resting
Brittany Martinez,12042,72.2,1611.6,4.1,5.84,Running
Susan Smith,6096,53.5,3391.2,7.4,3.52,Running
Amy Moore,2530,66.8,1544.2,9.6,13.1,Walking
Jose Zamora,15306,74.2,2544.6,4.6,11.51,Resting
Victoria Kent,9972,86.6,1653.9,6.9,14.7,Walking
Paula Perry,6303,72.8,2526.5,4.2,10.59,Cycling
Jose Cortez,2950,70.7,2462.7,7.3,14.7,Resting
Keith Jackson,16681,75.9,2715.8,9.0,5.67,Walking
Thomas Gill,14781,88.3,2172.8,7.6,8.23,Walking
Sara Taylor MD,14627,78.0,2335.4,8.8,10.7,Running
Breanna Johnston,16663,71.7,2009.9,8.5,8.77,Resting
Aaron Coleman,1087,90.3,2161.9,4.4,12.18,Walking
David Logan,7084,55.6,3292.9,7.1,5.1,Cycling
Matthew Smith,7987,91.0,1876.6,4.3,5.67,Walking
Howard Hernandez,14009,66.7,1877.7,4.9,11.75,Resting
Thomas Robertson,6310,60.2,2116.1,9.7,12.58,Walking
Brandon Cox,1125,49.8,2165.4,6.3,9.29,Running
Phillip Parker,4652,94.1,2099.5,5.5,14.7,Walking
Jonathon Richards,2288,63.3,2481.5,7.0,14.77,Running
Andrew Parker,7090,68.3,2180.1,4.6,1.32,Cycling
Todd Murphy,13452,83.9,2091.6,7.7,1.68,Resting
Jessica Smith,7625,75.4,2222.6,7.1,14.66,Running
Eric Rivas,16429,84.0,2410.3,9.7,8.23,Resting
Janice Rasmussen,13362,83.3,2651.1,4.3,12.45,Cycling
Kevin Thornton,9793,79.1,2579.9,7.2,1.69,Cycling
Lori Hall,17005,80.8,2479.8,5.8,10.33,Resting
Michele Davis,9164,60.6,1497.6,7.3,8.92,Running
Tabitha Martinez,12233,83.1,2316.4,5.8,11.96,Walking
Lawrence Ellis,10883,65.9,1525.9,7.9,7.3,Cycling
Howard Peck,5679,76.3,2203.9,7.2,4.04,Walking
Tiffany Edwards,10969,68.0,2475.9,5.2,6.16,Resting
Susan Hampton,14337,62.8,2322.9,4.7,10.83,Resting
Lisa Hunt,17435,72.2,2865.4,4.1,14.43,Running
Stephanie Martin,15542,88.8,2526.7,6.7,13.74,Running
Brandon Parker,12171,64.5,2408.7,4.4,11.89,Walking
Stephanie Roth,15253,60.6,2130.7,7.3,7.64,Resting
Gabrielle Townsend,2882,57.0,2166.0,7.2,11.15,Walking
James Stephens,13550,73.5,1687.0,8.2,12.87,Walking
Diane Aguilar,17734,74.2,2497.9,6.7,1.73,Cycling
James Villarreal,17335,65.7,1797.5,8.8,11.18,Running
Melissa Walker,17890,77.4,2226.7,6.3,13.64,Walking
Audrey Medina,14501,71.2,2376.2,8.5,8.87,Walking
Courtney Martin,18334,80.9,2184.8,6.8,14.45,Cycling
Karen Tyler,7763,86.5,1305.7,7.8,7.71,Walking
Diana Brown,11522,75.8,1902.3,6.3,14.7,Running
Robert Garrett,16379,88.0,2274.3,7.2,9.85,Running
Brian Jones,15186,85.1,2658.9,9.4,1.25,Running
Brian Morris,14749,73.1,2175.0,9.2,14.95,Walking
Laura Graham,5845,78.0,2205.2,5.2,10.73,Resting
Travis Carrillo,8387,61.9,2835.7,9.5,1.87,Walking
Keith Adams,16736,62.9,1726.6,4.9,8.94,Walking
Kimberly Davis PhD,13507,52.4,1553.4,4.1,10.52,Resting
Michelle Johnson,12417,76.1,1825.2,5.5,10.41,Cycling
Mark Coffey,1095,84.2,2160.2,9.3,9.94,Running
Kyle Wells,3114,73.7,2226.0,8.9,4.4,Resting
Diana Collins,16358,77.2,1871.6,7.0,3.07,Cycling
Michael Collier,6269,73.7,1853.1,4.3,4.62,Resting
Daniel Hays,7186,79.1,2381.5,9.9,1.28,Cycling
Denise Harris,4223,69.5,2324.3,8.9,9.62,Walking
Amber Herrera,11961,75.4,1742.5,7.6,1.26,Resting
Kelly Pham,19324,83.7,2366.1,5.8,1.77,Cycling
Brian Jones,16290,70.6,1950.9,8.8,3.68,Running
Trevor Perez,4321,69.7,2545.1,6.0,5.75,Running
Michael Taylor,1885,79.2,2452.3,6.9,3.2,Running
Dennis Ford,18236,78.1,2364.5,7.6,10.47,Resting
Melanie Campbell,6751,70.3,2248.0,4.1,8.4,Walking
Nicholas Webb,12339,56.2,2475.0,5.9,12.1,Cycling
Lisa Frederick,3282,65.8,2228.7,8.9,6.46,Resting
Christopher Richardson,13415,89.5,2222.0,4.7,12.29,Cycling
Amanda Jones,11428,85.7,1962.4,4.6,3.67,Running
Mark Garcia,2250,62.9,2656.0,6.2,10.59,Running
James Barnett,13969,88.2,2839.5,9.7,1.72,Running
Dawn Weber,15327,52.9,2333.1,4.2,8.46,Walking
Mercedes Dominguez,4076,74.6,2308.3,6.0,3.09,Walking
Kimberly Heath,8982,65.8,1982.8,8.4,9.6,Cycling
Diana Taylor,3164,83.1,2145.4,6.3,14.57,Running
Roy Alvarado,15538,84.8,2576.0,5.5,6.15,Cycling
Mary Carpenter,16950,83.3,2290.6,7.3,1.05,Walking
Kenneth Weaver,6729,76.2,1687.0,5.0,13.41,Walking
Melissa Brewer,1683,82.7,1966.1,5.4,1.06,Running
Richard Johnson,18296,73.6,2754.8,6.7,1.64,Cycling
Barbara Conway,6915,62.0,2911.6,8.3,4.44,Walking
James Mcdonald,18080,79.3,2849.6,8.9,8.01,Running
Terry Smith,15133,88.9,1457.3,4.2,10.9,Running
Nathan Davis,15411,69.5,2487.0,5.4,1.91,Walking
Jerry Oconnor,6869,76.0,2534.6,6.4,6.14,Running
Sierra Jones,5443,76.4,2821.3,4.6,8.24,Walking
Robin Meyers,3448,76.4,2140.6,9.5,10.04,Cycling
Peter Mann,12167,84.2,2045.8,7.6,8.84,Resting
Jessica Dean,11277,68.7,3114.5,7.3,8.81,Resting
Beth Lewis,18526,72.8,2450.3,9.5,2.99,Resting
Bethany Barber,6595,80.9,2346.1,9.7,2.44,Cycling
Judith Glenn,17371,76.2,2805.7,4.7,12.26,Cycling
Frances Robinson,1164,66.6,1865.1,5.0,9.18,Resting
Dawn Mejia,14963,83.2,2236.6,4.3,2.34,Walking
Edward Crosby,15944,77.5,2503.6,9.7,1.45,Walking
Jenna Chaney,15518,57.2,2054.8,5.9,14.08,Resting
Robert Holmes,13667,64.2,2899.3,9.0,8.63,Running
William Moon,13798,78.5,1447.8,6.4,2.19,Walking
Desiree Thompson,5135,65.6,2182.0,7.2,6.19,Resting
Benjamin Ramos,4895,69.8,1802.4,7.5,13.52,Running
David Bush,19230,66.5,2214.7,7.6,1.16,Cycling
Jill Allen,8375,79.6,2697.7,5.0,8.5,Walking
Dustin Wiggins,6362,87.7,2177.2,4.2,2.23,Resting
Christopher Long,8918,65.6,2154.5,4.8,4.18,Resting
Regina Clark,12967,71.0,2584.0,4.8,5.37,Cycling
Laura Scott,9938,72.5,2282.8,4.2,5.52,Walking
John Martin,14538,80.6,2017.5,9.6,1.9,Resting
Randall Fleming,10479,81.2,2817.7,5.7,9.26,Walking
Aaron Lee,1659,72.3,2427.4,4.5,7.18,Running
Alan Myers,2316,62.3,2105.9,9.2,4.16,Walking
Tracy Raymond,18487,92.6,2346.5,8.1,3.02,Walking
David Rodriguez,18512,81.7,2104.2,8.7,9.65,Cycling
Trevor Adams,2267,77.7,2657.8,6.9,4.57,Resting
Mrs. Victoria Rivera,18980,84.7,2709.3,4.9,4.77,Running
Erik Anderson,15135,67.3,2792.5,9.1,9.99,Running
Sean Wilson,2376,63.9,2364.9,6.7,11.11,Cycling
Malik Mayo,5531,64.4,2520.3,7.4,11.89,Walking
William Rios IV,19263,77.0,1617.0,8.9,4.85,Running
Lauren Gibbs,17992,77.3,2058.3,7.6,14.31,Cycling
Lisa Pena,7598,80.6,2416.9,4.0,4.44,Cycling
Brent Price,16485,78.6,1925.4,4.7,1.75,Walking
Jeanne Duncan,11729,90.2,2318.3,4.7,11.16,Cycling
Sara Mcknight,15276,70.5,1633.9,9.1,6.1,Walking
Paul Hamilton,9372,67.4,1473.3,6.6,14.03,Resting
Rachel Zimmerman,12481,85.6,2432.5,5.4,11.09,Cycling
Jacqueline Clark,15500,51.8,2809.5,5.7,6.15,Walking
Eric Nguyen,9106,68.0,2112.5,8.9,6.83,Cycling
Matthew Silva,5601,72.3,1340.0,5.8,1.41,Walking
Brad Moore,6491,64.4,2361.8,4.6,5.75,Running
Lauren Vega DVM,12577,62.6,2505.5,9.1,11.42,Resting
Charles Cole,15450,80.8,2262.1,5.2,3.89,Cycling
Kathleen Fernandez,4619,93.2,1888.1,8.5,10.86,Resting
David Mitchell,10316,95.7,2141.9,4.9,1.55,Walking
Terry Vaughn,16029,64.3,2231.5,9.9,9.49,Running
Randy Stewart,1516,72.4,2923.0,4.3,8.76,Walking
Brooke Hall,15946,92.1,2140.2,8.8,13.44,Walking
Thomas Potter DDS,17493,79.5,2372.3,6.6,10.39,Resting
Veronica Mosley,10868,62.8,1583.1,5.4,7.83,Cycling
Michael Patel,11011,96.9,2367.1,5.9,3.5,Resting
Whitney Miller,5313,64.4,2406.0,4.4,5.79,Cycling
Breanna Williams,10571,92.9,2931.7,5.8,7.72,Running
James Morris,6608,57.2,2860.9,9.1,2.01,Resting
Tina Patrick,10183,72.1,2438.6,8.1,1.89,Cycling
Kellie Burns,5845,63.2,2410.0,6.0,11.64,Walking
Jonathan Romero,19575,66.3,2017.9,7.3,3.75,Walking
Renee Kramer,8374,66.5,1822.0,9.3,3.99,Walking
Alison Mason,17778,64.0,2535.0,4.7,5.4,Resting
Timothy Martin,3988,74.8,2141.4,5.9,12.14,Walking
Crystal Lynch,6754,67.6,3320.4,6.8,3.62,Running
Andre Brooks,13420,78.7,2755.6,7.2,4.1,Walking
Kim Cooper,17023,78.8,2087.2,6.4,6.3,Cycling
David Morris,9416,57.9,1895.4,8.6,1.46,Cycling
Michelle Castillo MD,5404,77.1,2978.5,5.4,7.6,Walking
Kevin Thomas,12129,83.5,2735.5,5.2,6.6,Running
Kimberly Robbins,19582,73.6,2212.0,8.1,1.86,Running
Jack Mccormick,8228,75.8,1564.3,4.2,6.79,Resting
Carlos Tran DVM,10648,75.3,1751.5,9.9,2.27,Cycling
Timothy Thornton,6291,76.0,2477.7,7.5,8.22,Resting
Jose Wilson,19752,73.7,1667.6,9.5,4.55,Running
Carl Gallagher,14562,70.6,1738.2,7.0,9.18,Walking
James Miller,10452,69.1,1966.1,4.7,14.28,Cycling
Daniel Moore,11177,57.7,2265.2,4.5,2.65,Running
Cynthia Jackson,3320,78.1,1640.0,7.8,12.01,Running
Cynthia Harris,13608,68.9,1906.4,7.9,9.77,Walking
Justin Rollins,1515,73.4,2275.1,8.7,8.05,Cycling
Rodney Weeks,8388,85.2,1609.3,5.5,2.34,Cycling
Amber Dawson,1193,62.3,1915.6,7.5,10.38,Cycling
Christine Rosario,7848,82.1,2040.5,4.9,4.34,Cycling
Wendy Brown,16709,82.2,2181.1,9.7,11.45,Resting
Daisy Farmer,6828,74.3,2405.8,4.0,8.84,Resting
Amber Hernandez,3039,76.5,1455.3,9.5,5.8,Resting
Terri Jackson,3679,91.6,1939.9,5.7,7.0,Walking
Rebecca Hansen,7604,48.8,2351.3,9.1,13.21,Running
Andrew Collins,1314,67.2,2437.3,6.6,12.19,Running
Christine Trevino,19016,71.8,1831.8,8.9,4.36,Resting
Keith Guerrero,2306,73.7,2471.5,9.5,7.06,Walking
Destiny Flores,9542,68.3,1576.3,8.9,4.24,Running
Megan Logan,8994,82.5,2529.4,8.7,8.54,Resting
Ashley Yates,3779,83.0,2261.7,5.1,7.12,Resting
Derek Russell,18566,73.1,2515.2,5.8,8.84,Walking
Lawrence Ponce,13085,79.5,2854.8,5.8,13.43,Running
Andrea Carter,13668,69.0,1708.7,4.0,9.85,Resting
Vickie Price,14460,76.3,2026.2,6.3,14.25,Resting
Bobby Ryan,2838,88.5,2594.4,6.5,14.42,Cycling
Ashley Miller,2821,75.7,2373.3,6.1,14.18,Running
Cassandra Ortega,11151,79.4,2499.1,6.9,9.66,Running
Diana Vazquez,16168,86.9,2543.5,9.4,12.74,Cycling
Jacob Murphy,13910,72.9,1926.5,8.0,2.91,Walking
Omar Mack,17057,75.2,2647.2,5.1,8.86,Cycling
Heather Gross,10453,73.7,1574.0,9.5,4.2,Running
Thomas Phillips,5335,99.0,2458.0,5.4,14.05,Walking
Andrew Rasmussen,15929,61.7,1466.2,7.8,14.54,Running
James Caldwell,11275,80.6,2186.3,5.1,9.5,Running
Caitlyn Chavez,12786,63.7,3058.5,7.3,4.37,Walking
Victoria King,14130,71.9,2517.9,8.9,8.24,Resting
Brian Hodges,14666,72.8,2307.8,9.2,11.01,Cycling
Rebecca Friedman,3019,76.0,2976.7,5.2,12.68,Walking
Andrea Hill,12861,76.4,2275.0,9.4,3.3,Running
Danielle Jackson,8656,92.4,2574.9,6.5,5.44,Cycling
Brenda Owens,5132,91.0,2065.3,5.6,11.98,Running
Sarah Todd,10464,98.9,2344.6,5.3,8.44,Walking
Nicole Cole,16051,60.5,2551.6,5.0,3.06,Cycling
Jodi Mcdaniel,13207,91.5,1581.6,8.8,1.59,Walking
Wendy Norton,12025,73.0,1429.8,6.4,11.13,Walking
Joyce Rodriguez,16300,59.1,3064.2,6.5,7.74,Resting
Gina Burns,14716,84.1,1679.9,8.2,9.77,Walking
Scott Elliott,12394,67.2,1959.1,5.3,9.74,Running
John Baker,5559,61.3,1885.5,6.4,4.68,Walking
Jacqueline Delgado,5342,56.6,2723.9,9.4,1.08,Resting
Erica Salazar,1789,72.5,2568.0,8.0,2.68,Walking
Gabriel Johns,3059,77.8,2242.2,10.0,9.45,Resting
Valerie Conley,13153,73.4,2546.3,8.8,4.82,Walking
Emma Williams,7781,90.4,2469.2,4.2,3.24,Resting
Ryan Hubbard,5876,76.4,2631.5,4.5,13.74,Running
Mary Preston,6801,70.4,2787.0,7.5,2.92,Resting
Renee Buchanan,15809,72.3,2932.6,8.1,14.94,Walking
Steve Golden,1861,75.4,1541.5,7.7,9.82,Walking
Katie Green,5581,65.1,2336.1,4.3,11.79,Running
Carl Brooks,13758,82.5,2626.2,6.4,1.71,Running
Alyssa Moore,5856,77.0,1644.7,5.9,10.45,Cycling
Stacy Watkins,1716,71.6,2039.4,9.5,5.26,Cycling
Molly Weeks,16749,65.5,1948.0,4.0,10.09,Cycling
Timothy Valencia,8465,72.8,2314.0,5.4,3.65,Resting
Karen Weber,15694,65.3,2381.4,7.8,5.64,Cycling
Joseph Miller,16826,69.6,1989.4,6.3,11.37,Cycling
Darius Walker,9574,60.1,1709.1,9.6,1.32,Walking
Daniel Perez,15604,59.2,1969.2,6.1,14.7,Cycling
Vincent Young,2664,70.1,2350.8,8.4,10.68,Walking
Christopher Hensley,9262,79.7,2825.3,4.0,5.47,Resting
Mark Gould,11213,72.7,2381.6,4.5,1.11,Running
Rachael Jones,3906,67.2,2500.8,8.8,14.45,Cycling
Robert Brooks,11239,75.3,2175.6,6.8,12.01,Resting
Suzanne Howard,17807,76.8,1962.6,9.5,3.84,Walking
Kristen Walker,18609,92.0,2644.2,8.4,14.19,Running
David Whitney,16025,76.2,1947.1,9.4,14.49,Cycling
Michelle Warner,3484,72.1,2063.4,4.2,8.64,Resting
Bradley Obrien,5878,83.1,1839.0,8.5,13.27,Resting
Carol Ward,5401,77.1,1666.7,5.3,13.39,Resting
Matthew Levy,11236,73.5,2401.6,6.7,9.71,Cycling
Cindy Rodriguez,9467,75.1,2211.8,4.9,2.33,Walking
Susan Foster,8083,73.8,1714.9,4.1,5.28,Resting
Justin Barnes,3478,53.9,2005.2,4.2,10.12,Resting
Aaron Morris,9730,62.5,2187.3,4.9,4.77,Resting
Elizabeth Davis,5829,72.9,1863.1,4.8,5.42,Walking
Brian Douglas,17378,74.6,2585.4,4.9,2.79,Resting
Christopher Walker,14759,87.7,2106.5,9.3,1.79,Resting
Virginia Nunez,1491,89.0,1397.3,9.5,4.66,Resting
Latoya Alexander,18550,80.6,2010.6,6.4,9.63,Running
Phillip Davis,16631,71.3,2368.6,7.6,3.65,Resting
Jeremiah Pham,14761,91.5,2339.1,6.7,13.59,Walking
Christina Martinez,18785,63.0,2478.1,4.1,11.3,Resting
Mark Keller,9035,57.2,2759.1,4.2,12.84,Resting
Robert Smith,16531,81.8,1609.2,9.0,3.87,Walking
Angela Carroll,9418,88.5,1734.1,4.0,12.98,Resting
Joshua Jennings,5141,73.6,2753.7,6.8,13.91,Running
Timothy Hill,9775,87.8,2029.5,4.1,6.11,Cycling
Patrick Nichols,4423,73.6,2091.8,9.8,14.12,Running
Mark Stone,13218,78.4,1753.4,5.1,4.17,Running
Aaron Howard,18430,70.0,2551.4,6.7,8.17,Resting
Jason Jones,3854,74.2,2452.4,9.7,2.59,Cycling
Matthew Moore,10130,84.6,1953.6,8.1,5.25,Resting
Denise Smith,2109,84.5,1567.5,7.0,8.85,Walking
John Booth,6597,77.1,1467.3,9.0,12.16,Cycling
Christopher Lee,7069,79.2,2523.2,9.9,12.95,Running
Glenn Walker,1282,76.0,2125.9,6.3,12.4,Running
Samuel Martinez,1445,75.3,2281.5,9.4,13.45,Resting
Jason Escobar DDS,2110,70.1,2186.9,6.7,9.73,Cycling
Patricia Murray,9883,73.8,1828.5,9.2,1.9,Cycling
Shelby Woods,16104,84.9,2474.2,8.2,10.64,Cycling
Jonathan Gray,3840,75.0,1822.5,8.0,3.51,Walking
Brad Duarte,3837,83.8,1617.9,8.2,12.7,Running
Marco Smith,7260,70.8,2619.4,8.4,13.39,Resting
Ann Alexander,2553,60.6,3572.4,6.9,8.44,Walking
Debra Rosales,10301,97.0,1719.0,6.1,4.32,Running
